ADA-USD,ADA-USD1,ADA-USD2,ADA-USD3,ADA-USD4,ADA-USD5,BTC-USD,BTC-USD1,BTC-USD2,BTC-USD3,BTC-USD4,BTC-USD5,ETH-USD,ETH-USD1,ETH-USD2,ETH-USD3,ETH-USD4,ETH-USD5,Unnamed: 0,_id,index
Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,NaN,60fdbae9b9153bc55f2a9be1,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Datetime,60fdbae9b9153bc55f2a9be2,1
1.421686053276062,1.421686053276062,1.421686053276062,1.421686053276062,1.421686053276062,388608.0,34666.87890625,34666.87890625,34666.87890625,34666.87890625,34666.87890625,4960256.0,2361.251220703125,2361.251220703125,2361.251220703125,2361.251220703125,2361.251220703125,0.0,2021-07-07 18:52:00+01:00,60fdbae9b9153bc55f2ab077,5270
1.4210121631622314,1.4210121631622314,1.4210121631622314,1.4210121631622314,1.4210121631622314,0.0,34665.47265625,34665.47265625,34665.47265625,34665.47265625,34665.47265625,0.0,2360.990966796875,2360.990966796875,2360.990966796875,2360.990966796875,2360.990966796875,0.0,2021-07-07 18:53:00+01:00,60fdbae9b9153bc55f2ab078,5271
1.4201653003692627,1.4201653003692627,1.4201653003692627,1.4201653003692627,1.4201653003692627,0.0,34652.53515625,34652.53515625,34652.53515625,34652.53515625,34652.53515625,0.0,2360.805908203125,2360.805908203125,2360.805908203125,2360.805908203125,2360.805908203125,0.0,2021-07-07 18:54:00+01:00,60fdbae9b9153bc55f2ab079,5272
1.42008376121521,1.42008376121521,1.42008376121521,1.42008376121521,1.42008376121521,254080.0,34651.55078125,34651.55078125,34651.55078125,34651.55078125,34651.55078125,0.0,2360.572509765625,2360.572509765625,2360.572509765625,2360.572509765625,2360.572509765625,0.0,2021-07-07 18:55:00+01:00,60fdbae9b9153bc55f2ab07a,5273
1.4209586381912231,1.4209586381912231,1.4209586381912231,1.4209586381912231,1.4209586381912231,3200.0,34664.51171875,34664.51171875,34664.51171875,34664.51171875,34664.51171875,0.0,2359.867431640625,2359.867431640625,2359.867431640625,2359.867431640625,2359.867431640625,0.0,2021-07-07 18:58:00+01:00,60fdbae9b9153bc55f2ab07b,5274
1.4200897216796875,1.4200897216796875,1.4200897216796875,1.4200897216796875,1.4200897216796875,0.0,34647.48046875,34647.48046875,34647.48046875,34647.48046875,34647.48046875,0.0,2359.294189453125,2359.294189453125,2359.294189453125,2359.294189453125,2359.294189453125,0.0,2021-07-07 18:59:00+01:00,60fdbae9b9153bc55f2ab07c,5275
1.420565128326416,1.420565128326416,1.420565128326416,1.420565128326416,1.420565128326416,50176.0,34652.234375,34652.234375,34652.234375,34652.234375,34652.234375,0.0,2359.4296875,2359.4296875,2359.4296875,2359.4296875,2359.4296875,0.0,2021-07-07 19:00:00+01:00,60fdbae9b9153bc55f2ab07d,5276
1.4174350500106812,1.4174350500106812,1.4174350500106812,1.4174350500106812,1.4174350500106812,289024.0,34592.7265625,34592.7265625,34592.7265625,34592.7265625,34592.7265625,0.0,2354.57421875,2354.57421875,2354.57421875,2354.57421875,2354.57421875,0.0,2021-07-07 19:01:00+01:00,60fdbae9b9153bc55f2ab07e,5277
1.4178742170333862,1.4178742170333862,1.4178742170333862,1.4178742170333862,1.4178742170333862,0.0,34604.97265625,34604.97265625,34604.97265625,34604.97265625,34604.97265625,0.0,2356.405517578125,2356.405517578125,2356.405517578125,2356.405517578125,2356.405517578125,0.0,2021-07-07 19:02:00+01:00,60fdbae9b9153bc55f2ab07f,5278
1.4183688163757324,1.4183688163757324,1.4183688163757324,1.4183688163757324,1.4183688163757324,281600.0,34643.140625,34643.140625,34643.140625,34643.140625,34643.140625,7620608.0,2359.093994140625,2359.093994140625,2359.093994140625,2359.093994140625,2359.093994140625,7684096.0,2021-07-07 19:03:00+01:00,60fdbae9b9153bc55f2ab080,5279
